"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HS5JCICI","journalArticle","2021","Veling, Wim; Lestestuiver, Bart; Jongma, Marieke; Hoenders, H. J. Rogier; van Driel, Catheleine","Virtual Reality Relaxation for Patients With a Psychiatric Disorder: Crossover Randomized Controlled Trial.","Journal of medical Internet research","","1438-8871 1439-4456","10.2196/17233","","BACKGROUND: Virtual reality (VR) relaxation is a promising mental health intervention that may be an effective tool for stress reduction but has hardly  been tested in clinical trials with psychiatric patients. We developed an  easy-to-use VR self-management relaxation tool (VRelax) with immersive 360°  nature videos and interactive animated elements. OBJECTIVE: To investigate the  immediate effects of VR relaxation on negative and positive affective states and  short-term effects on perceived stress and symptoms in patients with a  psychiatric disorder, compared to standard relaxation exercises. METHODS: A  randomized crossover trial was conducted in 50 patients receiving ambulatory  treatment for anxiety, psychotic, depressive, or bipolar disorder. Participants  were randomly assigned to start with VRelax or standard relaxation and used both  interventions for 10 days at home. They completed 8 visual analog scales of  momentary negative and positive affective states before and after each session.  Global perceived stress and psychiatric symptoms were measured before and after  both intervention periods. Treatment effects were analyzed with multilevel mixed  model regression analyses and 2-way analysis of variance. RESULTS: Both VRelax  and standard relaxation exercises led to a statistically significant immediate  improvement of all negative and positive affective states. Compared to standard  relaxation, VRelax resulted in a significantly greater reduction of total  negative affective state (change 16.2% versus 21.2%; t(1684)=-2.02, 95% CI -18.70  to -0.28; P=.04). Specifically, VRelax had a stronger beneficial effect on  momentary anxiety (t(1684)=-3.24, 95% CI -6.86 to -1.69), sadness (t(1684)=-2.32,  95% CI -6.51 to -0.55), and cheerfulness (t(1684)=2.35, 95% CI 0.51 to 5.75).  There were no significant differences between short-term effects of the two  treatments on global perceived stress and symptoms. CONCLUSIONS: If the results  of this trial are replicated and extended, VRelax may provide a much-needed,  effective, easy-to-use self-management relaxation intervention to enhance  psychiatric treatments. TRIAL REGISTRATION: Netherlands Trial Register NTR7294;  https://www.trialregister.nl/trial/7096.","2021-01-15","2025-11-07 06:45:01","2025-11-07 06:50:11","","e17233","","1","23","","J Med Internet Res","","","","","","","","eng","©Wim Veling, Bart Lestestuiver, Marieke Jongma, H J Rogier Hoenders, Catheleine van Driel. Originally published in the Journal of Medical Internet Research  (http://www.jmir.org), 15.01.2021.","","","","","","Place: Canada PMID: 33448933  PMCID: PMC7846446","","","","relaxation; virtual reality; anxiety; stress; *Virtual Reality; Adult; Cross-Over Studies; depression; Female; Humans; Male; Mental Disorders/*therapy; negative affect; positive affect; Psychotherapy/*methods; randomized controlled trial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQ7NN32J","journalArticle","2021","Garcia, Laura M.; Birckhead, Brandon J.; Krishnamurthy, Parthasarathy; Sackman, Josh; Mackey, Ian G.; Louis, Robert G.; Salmasi, Vafi; Maddox, Todd; Darnall, Beth D.","An 8-Week Self-Administered At-Home Behavioral Skills-Based Virtual Reality Program for Chronic Low Back Pain: Double-Blind, Randomized, Placebo-Controlled  Trial Conducted During COVID-19.","Journal of medical Internet research","","1438-8871 1439-4456","10.2196/26292","","BACKGROUND: Chronic low back pain is the most prevalent chronic pain condition worldwide and access to behavioral pain treatment is limited. Virtual reality  (VR) is an immersive technology that may provide effective behavioral  therapeutics for chronic pain. OBJECTIVE: We aimed to conduct a double-blind,  parallel-arm, single-cohort, remote, randomized placebo-controlled trial for a  self-administered behavioral skills-based VR program in community-based  individuals with self-reported chronic low back pain during the COVID-19  pandemic. METHODS: A national online convenience sample of individuals with  self-reported nonmalignant low back pain with duration of 6 months or more and  with average pain intensity of 4 or more/10 was enrolled and randomized 1:1 to 1  of 2 daily (56-day) VR programs: (1) EaseVRx (immersive pain relief skills VR  program); or (2) Sham VR (2D nature content delivered in a VR headset). Objective  device use data and self-reported data were collected. The primary outcomes were  the between-group effect of EaseVRx versus Sham VR across time points, and the  between-within interaction effect representing the change in average pain  intensity and pain-related interference with activity, stress, mood, and sleep  over time (baseline to end-of-treatment at day 56). Secondary outcomes were  global impression of change and change in physical function, sleep disturbance,  pain self-efficacy, pain catastrophizing, pain acceptance, pain medication use,  and user satisfaction. Analytic methods included intention-to-treat and a  mixed-model framework. RESULTS: The study sample was 179 adults (female: 76.5%,  137/179; Caucasian: 90.5%, 162/179; at least some college education: 91.1%,  163/179; mean age: 51.5 years [SD 13.1]; average pain intensity: 5/10 [SD 1.2];  back pain duration ≥5 years: 67%, 120/179). No group differences were found for  any baseline variable or treatment engagement. User satisfaction ratings were  higher for EaseVRx versus Sham VR (P<.001). For the between-groups factor,  EaseVRx was superior to Sham VR for all primary outcomes (highest P value=.009),  and between-groups Cohen d effect sizes ranged from 0.40 to 0.49, indicating  superiority was moderately clinically meaningful. For EaseVRx, large pre-post  effect sizes ranged from 1.17 to 1.3 and met moderate to substantial clinical  importance for reduced pain intensity and pain-related interference with  activity, mood, and stress. Between-group comparisons for Physical Function and  Sleep Disturbance showed superiority for the EaseVRx group versus the Sham VR  group (P=.022 and .013, respectively). Pain catastrophizing, pain self-efficacy,  pain acceptance, prescription opioid use (morphine milligram equivalent) did not  reach statistical significance for either group. Use of over-the-counter  analgesic use was reduced for EaseVRx (P<.01) but not for Sham VR. CONCLUSIONS:  EaseVRx had high user satisfaction and superior and clinically meaningful symptom  reduction for average pain intensity and pain-related interference with activity,  mood, and stress compared to sham VR. Additional research is needed to determine  durability of treatment effects and to characterize mechanisms of treatment  effects. Home-based VR may expand access to effective and on-demand  nonpharmacologic treatment for chronic low back pain. TRIAL REGISTRATION:  ClinicalTrials.gov NCT04415177; https://clinicaltrials.gov/ct2/show/NCT04415177.  INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): RR2-10.2196/25291.","2021-02-22","2025-11-07 06:45:01","2025-11-07 06:49:12","","e26292","","2","23","","J Med Internet Res","","","","","","","","eng","©Laura M Garcia, Brandon J Birckhead, Parthasarathy Krishnamurthy, Josh Sackman, Ian G Mackey, Robert G Louis, Vafi Salmasi, Todd Maddox, Beth D Darnall.  Originally published in the Journal of Medical Internet Research  (http://www.jmir.org), 22.02.2021.","","","","","","Place: Canada PMID: 33484240  PMCID: PMC7939946","","","","virtual reality; chronic pain; *Virtual Reality; Adult; Female; Humans; Male; *COVID-19/epidemiology; *Health Behavior; Adolescent; Aged; Aged, 80 and over; behavioral health; Chronic Pain/*therapy; COVID-19; Double-Blind Method; low back pain; Low Back Pain/*therapy; Middle Aged; opioids; Pain Management/*methods; pain treatment, randomized controlled trial; Pandemics; Self Report; Time Factors; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PMF465ZR","journalArticle","2024","Kizmaz, Erhan; Telli Atalay, Orçin; Çetin, Nazlı; Uğurlu, Erhan","Virtual reality for COPD exacerbation: A randomized controlled trial.","Respiratory medicine","","1532-3064 0954-6111","10.1016/j.rmed.2024.107696","","BACKGROUND: Pulmonary rehabilitation (PR) is an effective treatment method for chronic obstructive pulmonary disease (COPD). However, individuals with chronic  diseases that require lifelong treatment and experience exacerbations need  motivational methods. OBJECTIVES: The aim of this study was to examine the  effects of virtual reality on symptoms, daily living activity, functional  capacity, anxiety and depression levels in COPD exacerbation. METHODS: Fifty  patients hospitalized for COPD exacerbation were included in the study. They were  randomly assigned to two groups. Twenty-five patients participated in a  traditional PR (once-daily until discharge), including pedaling exercises. The  second/25 patients followed the same protocol but experienced cycling simulation  in the forest via virtual reality (VR + PR). All patients were evaluated using  1-minute/Sit-to-Stand test (STST), modified-Medical Research Council (mMRC)  scale, COPD Assessment test (CAT), Hospital Anxiety and Depression Scale (HADS),  and London Chest Activities of Daily Living (LCADL) before and after the  treatment. RESULTS: The STST showed an increase in both groups post-treatment,  notably higher in the VR + PR (p = 0.037). Dyspnea levels and CAT scores  decreased in all patients, but the decrease was greater in the PR + VR group for  both parameters (p = 0.062, p = 0.003; respectively). Both groups experienced a  reduction in the HADS scores compared to the pre-treatment, with a more  significant decrease in depression and the total score in the VR + PR (p < 0.05).  LCADL's sub-parameters and total score, excluding household, decreased in both  groups after treatment (p < 0.05). The improvement was more substantial in the  VR + PR. CONCLUSIONS: Virtual reality provides benefits in the management of COPD  exacerbations and can be used safely. CLINICAL TRIAL REGISTIRATION: Registered at  clinicaltrials.gov, registration ID: NCT05687396, URL: www. CLINICALTRIALS: gov.","2024-09","2025-11-07 06:45:02","2025-11-07 06:50:07","","107696","","","230","","Respir Med","","","","","","","","eng","Copyright © 2024 Elsevier Ltd. All rights reserved.","","","","","","Place: England PMID: 38857811","","","","Virtual reality; *Virtual Reality; Female; Humans; Male; Aged; Middle Aged; *Activities of Daily Living; *Anxiety/psychology; *Pulmonary Disease, Chronic Obstructive/rehabilitation/physiopathology/psychology; COPD; Depression/psychology/therapy; Disease Progression; Dyspnea/rehabilitation/psychology/etiology; Exacerbation; Exercise Therapy/methods; Pulmonary rehabilitation; Treatment Outcome","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VCPESL83","journalArticle","2022","Deshpande, Aniruddha K.; Bhatt, Ishan; Rojanaworarit, Chanapong","Virtual reality for tinnitus management: a randomized controlled trial.","International journal of audiology","","1708-8186 1499-2027","10.1080/14992027.2021.1978568","","OBJECTIVE: Sound therapy (ST) and stress reduction regimens have been successfully used to manage tinnitus. Virtual reality (VR) has been used to  manage chronic conditions like intractable pain. The aim of the present study was  to investigate whether the use of VR in conjunction with ST revealed additional  improvements in tinnitus attributes as compared to ST alone. DESIGN: This study  was a randomised controlled trial (RCT) with a cross-over design. All  participants received two interventions - ST alone (control) and ST with VR  stimuli (experimental). ST consisted of fractal tones while VR stimuli comprised  of nature videos presented via VR goggles. A multilevel mixed-effects linear  regression model was used to estimate the intervention effect. STUDY SAMPLE:  Twenty adults with subjective, continuous, chronic tinnitus participated in the  study. RESULTS: After adjusting for period and baseline tinnitus loudness,  significant improvements were observed in tinnitus loudness and Tinnitus  Functional Index scores. Although not statistically significant, mean minimum  masking levels were lower after the experimental intervention. CONCLUSIONS: Study  participants benefitted from the use of VR in conjunction with ST in a laboratory  setting. Additional effectiveness trials and blinded RCTs will be needed before  validating the use of VR for tinnitus management in clinical settings.","2022-10","2025-11-07 06:45:02","2025-11-07 06:50:09","","868-875","","10","61","","Int J Audiol","","","","","","","","eng","","","","","","","Place: England PMID: 34550862","","","","virtual reality; *Virtual Reality; Adult; Humans; *Tinnitus/therapy; Chronic Disease; minimum masking level; randomised controlled trial; Sound; Sound therapy; tinnitus functional index; tinnitus loudness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHEB6LGY","journalArticle","2024","Baltaci, Nazlı; Bal, Sümeyye; Koç, Emine; Edis, Elif Keten","Effects of virtual reality and nature sounds on pain and anxiety during hysterosalpingography: a randomized controlled trial.","Revista da Associacao Medica Brasileira (1992)","","1806-9282 0104-4230","10.1590/1806-9282.20231599","","OBJECTIVE: The objective of this study was to determine the effects of listening to nature sounds alone and virtual reality plus listening to nature sounds on  pain and anxiety in hysterosalpingography. METHODS: This three-arm parallel  randomized controlled trial included 135 (45 in each group) women who underwent  hysterosalpingography in Turkey. The virtual reality+nature sounds group viewed a  nature video with virtual reality glasses and listened to nature sounds during  hysterosalpingography, whereas the nature sounds group only listened to nature  sounds. The control group received only routine care. RESULTS: During  hysterosalpingography, women in virtual reality+nature sounds group experienced  less pain than those in control group (p=0.009). After hysterosalpingography,  pain levels were lower in both virtual reality+nature sounds group and nature  sounds group than in control group (p=0.000 and p=0.000, respectively), anxiety  levels were lower in virtual reality+nature sounds group than in nature sounds  group and control group (p=0.018 and p=0.000, respectively), and anxiety levels  were lower in nature sounds group than in control group (p=0.013). CONCLUSION:  Virtual reality with nature content plus listening to nature sounds and only  listening to nature sounds are effective in reducing pain and anxiety related to  hysterosalpingography procedures in women. Compared with only listening to nature  sounds, virtual reality plus listening to nature sounds further reduced  hysterosalpingography-related pain and anxiety.","2024","2025-11-07 06:45:02","2025-11-07 06:49:42","","e20231599","","7","70","","Rev Assoc Med Bras (1992)","","","","","","","","eng","","","","","","","Place: Brazil PMID: 39166658  PMCID: PMC11329239","","","","*Virtual Reality; Adult; Female; Humans; Young Adult; Sound; *Anxiety/prevention & control/psychology; *Hysterosalpingography/methods/adverse effects; Pain Measurement; Pain/psychology/prevention & control; Turkey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCEVEFNS","journalArticle","2024","Eisen, Aaron M.; Bratman, Gregory N.; Olvera-Alvarez, Hector A.","Susceptibility to stress and nature exposure: Unveiling differential susceptibility to physical environments; a randomized controlled trial.","PloS one","","1932-6203","10.1371/journal.pone.0301473","","BACKGROUND: Emerging epidemiological evidence indicates nature exposure could be associated with greater health benefits among groups in lower versus higher  socioeconomic positions. One possible mechanism underpinning this evidence is  described by our framework: (susceptibility) adults in low socioeconomic  positions face higher exposure to persistent psychosocial stressors in early  life, inducing a pro-inflammatory phenotype as a lifelong susceptibility to  stress; (differential susceptibility) susceptible adults are more sensitive to  the health risks of adverse (stress-promoting) environments, but also to the  health benefits of protective (stress-buffering) environments. OBJECTIVE:  Experimental investigation of a pro-inflammatory phenotype as a mechanism  facilitating greater stress recovery from nature exposure. METHODS: We determined  differences in stress recovery (via heart rate variability) caused by exposure to  a nature or office virtual reality environment (10 min) after an acute stressor  among 64 healthy college-age males with varying levels of susceptibility  (socioeconomic status, early life stress, and a pro-inflammatory state  [inflammatory reactivity and glucocorticoid resistance to an in vitro bacterial  challenge]). RESULTS: Findings for inflammatory reactivity and glucocorticoid  resistance were modest but consistently trended towards better recovery in the  nature condition. Differences in recovery were not observed for socioeconomic  status or early life stress. DISCUSSION: Among healthy college-age males, we  observed expected trends according to their differential susceptibility when  assessed as inflammatory reactivity and glucocorticoid resistance, suggesting  these biological correlates of susceptibility could be more proximal indicators  than self-reported assessments of socioeconomic status and early life stress. If  future research in more diverse populations aligns with these trends, this could  support an alternative conceptualization of susceptibility as increased  environmental sensitivity, reflecting heightened responses to adverse, but also  protective environments. With this knowledge, future investigators could examine  how individual differences in environmental sensitivity could provide an  opportunity for those who are the most susceptible to experience the greatest  health benefits from nature exposure.","2024","2025-11-07 06:45:02","2025-11-07 06:49:57","","e0301473","","4","19","","PLoS One","","","","","","","","eng","Copyright: © 2024 Eisen et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted  use, distribution, and reproduction in any medium, provided the original author  and source are credited.","","","","","","Place: United States PMID: 38630650  PMCID: PMC11023441","","","","Adult; Humans; Male; *Glucocorticoids; *Stress, Psychological/psychology; Disease Susceptibility; Environment; Social Class","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XG6KHL2D","journalArticle","2019","Yin, Jie; Arfaei, Nastaran; MacNaughton, Piers; Catalano, Paul J.; Allen, Joseph G.; Spengler, John D.","Effects of biophilic interventions in office on stress reaction and cognitive function: A randomized crossover study in virtual reality.","Indoor air","","1600-0668 0905-6947","10.1111/ina.12593","","Biophilia hypothesis suggests humans have an innate connection to nature which may affect our health and productivity. Yet we currently live in a world that is  rapidly urbanizing with people spending most of their time indoors. We designed a  randomized crossover study to let 30 participants experience three versions of  biophilic design in simulated open and enclosed office spaces in virtual reality  (VR). Throughout the VR session, we measured blood pressure, heart rate, heart  rate variability, and skin conductance level and administered cognitive tests to  measure their reaction time and creativity. Compared to the base case,  participants in three spaces with biophilic elements had consistently lower level  of physiological stress indicators and higher creativity scores. In addition, we  captured the variation in the intensity of virtual exposure to biophilic elements  by using eye-tracking technology. These results suggest that biophilic  interventions could help reduce stress and improve creativity. Moreover, those  effects are related to both the types of biophilic elements and may be different  based on the workspace type (open vs enclosed). This research demonstrates that  VR-simulated office spaces are useful in differentiating responses to two  configurations and among biophilic elements.","2019-11","2025-11-07 06:45:02","2025-11-07 06:49:41","","1028-1039","","6","29","","Indoor Air","","","","","","","","eng","© 2019 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.","","","","","","Place: England PMID: 31418925","","","","Virtual Reality; virtual reality; Adult; Cross-Over Studies; Female; Humans; Male; Adolescent; Young Adult; *Cognition; *Occupational Health; *Stress, Physiological; Air Pollution, Indoor/adverse effects/analysis; biomonitoring sensors; biophilic design; Environmental Health/methods; eye-tracking; Facility Design and Construction/*methods; human responses; Occupational Exposure/adverse effects/analysis; Workplace/*psychology; workspace","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6GMMUM4N","journalArticle","2023","You, Jicheng; Wen, Xinyi; Liu, Linxin; Yin, Jie; Ji, John S.","Biophilic classroom environments on stress and cognitive performance: A randomized crossover study in virtual reality (VR).","PloS one","","1932-6203","10.1371/journal.pone.0291355","","The emerging Metaverse will likely increase time expenditure in indoor virtual environments, which could impact human health and well-being. The biophilia  hypothesis suggests that humans have an innate tendency to seek connections with  the natural world and there is increasing evidence that biophilic design such as  the incorporation of green plants can yield health benefits. Recently, virtual  reality (VR) has been used to regulate stress and improve overall wellness,  particularly by incorporating natural settings. In this randomized crossover  study, we designed five virtual classroom scenes with different biophilic  elements and turbidity in VR and investigated whether the visual stimulations can  affect the stress levels and cognitive functions of 30 young adults from a  university in China. We measured their physiological indicators of stress  reaction by wearable biomonitoring sensors (blood pressure (BP), heart rate (HR),  heart rate variability (HRV), and skin conductance level (SCL)), conducted verbal  cognitive tests on attention and creativity, and evaluated subjective/perceived  (self-reported) stress levels and connection with nature. Albeit our results  suggested no significant change in physiological stress reactions or cognitive  functions induced by the biophilic and turbid interventions in VR, the addition  of biophilic elements in the Metaverse could benefit students' health due to  significantly decreased perceived stress levels and increased connections with  nature.","2023","2025-11-07 06:45:02","2025-11-07 06:49:29","","e0291355","","11","18","","PLoS One","","","","","","","","eng","Copyright: © 2023 You et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted  use, distribution, and reproduction in any medium, provided the original author  and source are credited.","","","","","","Place: United States PMID: 37910474  PMCID: PMC10619869","","","","*Virtual Reality; Cross-Over Studies; Humans; Young Adult; *Attention; Cognition; Heart Rate/physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AK38FAR","journalArticle","2025","Erol Akar, Tuba; Ünver, Seher","Effectiveness of Virtual Reality Glasses on Surgical Fear and Anxiety in Patients Before Open-heart Surgery: A Double-blind Randomized Controlled Trial.","Journal of perianesthesia nursing : official journal of the American Society of PeriAnesthesia Nurses","","1532-8473 1089-9472","10.1016/j.jopan.2024.08.011","","PURPOSE: Fear and anxiety in open-heart surgery patients can adversely affect their physiological well-being and recovery. Although virtual reality glasses  (VR-G) have been advanced for preoperative anxiety management, their  effectiveness specifically for open-heart surgery patients remains  under-researched. This study aims to evaluate the efficacy of watching a video  through VR-G on surgical fear and anxiety levels of patients undergoing  open-heart surgery. DESIGN: A randomized controlled and double-blind study.  METHODS: In total, 90 patients were randomly assigned to the VR-G intervention  group or control group. On the surgery morning, intervention group patients  watched a 360-degree video with nature sounds through VR-G before being  transferred to the operating theater. The surgical fear and anxiety levels of the  patients were evaluated at three stages using the Surgical Fear Questionnaire and  Visual Analog Scale-Anxiety: initial evaluation in the morning, second evaluation  before being transferred, and third evaluation in the waiting room of the  operating theater. FINDINGS: The surgical fear level of the intervention group at  the third evaluation was significantly lower than the control group (P < .000).  There was no significant difference between the anxiety levels of the study  groups (P > .05). CONCLUSIONS: Watching a 360-degree video with nature sounds  through VR-G is an effective intervention in reducing surgical fear levels of  patients before undergoing open-heart surgery. Use of VR-G interventions may be  a practical and fast-resulting nursing strategy to manage patients' surgical fear  in the preoperative period. REGISTRATION: NCT06165861.","2025-06","2025-11-07 06:45:02","2025-11-07 06:49:41","","682-688","","3","40","","J Perianesth Nurs","","","","","","","","eng","Copyright © 2025 The American Society of PeriAnesthesia Nurses. Published by Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 39614857","","","","virtual reality; anxiety; *Virtual Reality; Adult; Female; Humans; Male; Aged; Double-Blind Method; Middle Aged; *Anxiety/prevention & control/psychology/therapy; *Cardiac Surgical Procedures/psychology/methods; *Fear/psychology; *Preoperative Care/methods; nurse; open-heart surgery; preoperative; surgical fear; Surveys and Questionnaires","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YDFVWG5","journalArticle","2025","Sadowski, Isabel; Meilleur-Bédard, Marianne; Khoury, Bassam","A Novel Virtual Reality-Based Nature Meditation Program for Older Adults' Mental Health: Results from a Pilot Randomized Controlled Trial.","Clinical gerontologist","","1545-2301 0731-7115","10.1080/07317115.2025.2482089","","OBJECTIVES: The rapid aging of the global population necessitates innovative interventions to address older adults' mental health. This pilot study evaluated  the feasibility, acceptability, and preliminary efficacy of a 4-week, 8-session  nature-mindfulness-compassion program using immersive virtual reality  (Embodied-and-Embedded-Mindfulness-Compassion-Framework - Virtual-Reality  (EEMCF-VR)) for older adults' mental health. METHODS: Following a mixed-methods,  two-arm, open-label RCT design, 24 older adults (M(age) = 75.1, SD = 6.58) were  randomly assigned to EEMCF-VR (n = 12) or a psychoeducational pamphlet control  group (n = 12). Participants completed self-report assessments of stress,  positive and negative emotions, coping self-efficacy, psychosocial well-being,  mindfulness, and nature connectedness at baseline (T1), midpoint (T2),  post-intervention (T3), and 4-week follow-up (T4). Additionally, the EEMCF-VR  group completed program feedback (T3) and simulator sickness (T1-T3)  questionnaires. RESULTS: EEMCF-VR met feasibility benchmarks (recruitment targets  achieved, attrition < 15%) and was well-tolerated (minimal simulator sickness).  Participant feedback indicated high acceptability. The EEMCF-VR group reported  significantly lower stress and negative emotions at T2 and T4 compared to  controls. Qualitative analysis highlighted perceived benefits and components to  retain (e.g. video content) or refine (e.g. headset weight). CONCLUSIONS:  EEMCF-VR demonstrated feasibility and acceptability, with promising effects on  stress and mood, warranting investigation in larger trials. CLINICAL  IMPLICATIONS: EEMCF-VR shows potential as a scalable intervention to reduce older  adults' emotional distress.","2025-09","2025-11-07 06:45:02","2025-11-07 06:49:05","","663-683","","4","48","","Clin Gerontol","","","","","","","","eng","","","","","","","Place: United States PMID: 40152067","","","","virtual reality; mental health; *Virtual Reality; Female; Humans; Male; Aged; Aged, 80 and over; Surveys and Questionnaires; *Meditation/methods/psychology; *Mental Health; *Mindfulness/methods; *Stress, Psychological/therapy/psychology; Adaptation, Psychological; Empathy; Feasibility Studies; Meditation; Pilot Projects; Self Efficacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
